stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,260.0,0.1,250.0,0.15,0.025,1.3570653042096765,0.20739813298819118,0.024100670850491026,-0.04564217868337553,0.22594378922335337,1.04
MCD,260.0,0.2,250.0,0.15,0.025,2.8729102345938458,0.2842604819178851,0.02016599036974102,-0.03771624156612308,0.3781123194326442,1.04
MCD,260.0,0.30000000000000004,250.0,0.15,0.025,4.14154689378087,0.32228754827815015,0.017385750503958512,-0.03216072725992473,0.48897423292383335,1.04
MCD,260.0,0.4,250.0,0.15,0.025,5.240982430016899,0.3458759698025409,0.015451552273050844,-0.028293720770233868,0.5794332102394067,1.04
MCD,260.0,0.5,250.0,0.15,0.025,6.2190772647360575,0.362253581306088,0.014022212982475161,-0.02543060268870005,0.6572912335535233,1.04
MCD,260.0,0.6,250.0,0.15,0.025,7.1051120912622,0.3744166175311075,0.012913711844692302,-0.023205015416603136,0.726396291263942,1.04
MCD,260.0,0.7000000000000001,250.0,0.15,0.025,7.918262852836705,0.383861034111584,0.012022338967806707,-0.021411001471350347,0.7889659947623151,1.04
MCD,260.0,0.8,250.0,0.15,0.025,8.671837561735103,0.39142862656864114,0.011285494421123522,-0.019924358165498552,0.8464120815842641,1.04
MCD,260.0,0.9,250.0,0.15,0.025,9.37550285705342,0.397634545450061,0.010663083412441033,-0.01866555420662728,0.8996976629247121,1.04
MCD,260.0,1.0,250.0,0.15,0.025,10.036538147200147,0.40281431542815904,0.010128150729873359,-0.017581115958117816,0.9495141309256273,1.04
MCD,270.0,0.1,250.0,0.15,0.025,0.26420931685914795,0.05364055849995877,0.00919203167782286,-0.017509075038375527,0.08617529697958932,1.08
MCD,270.0,0.2,250.0,0.15,0.025,1.0509574607794079,0.1288802080773139,0.012519505998645567,-0.023618241769823106,0.23474073747460436,1.08
MCD,270.0,0.30000000000000004,250.0,0.15,0.025,1.9220734206584495,0.1790321289477776,0.012696660260885928,-0.023740020866678153,0.3570935698374168,1.08
MCD,270.0,0.4,250.0,0.15,0.025,2.7707986553591297,0.21410771591109776,0.012238618034254885,-0.022691034759834004,0.45894817628455825,1.08
MCD,270.0,0.5,250.0,0.15,0.025,3.5763476259865925,0.2401520698880571,0.011660988046993271,-0.02144497309770504,0.5466088147028096,1.08
MCD,270.0,0.6,250.0,0.15,0.025,4.336855700841653,0.2603793459620925,0.01109367825324917,-0.02024118143930513,0.6240194017452659,1.08
MCD,270.0,0.7000000000000001,250.0,0.15,0.025,5.0551962023457975,0.2766205276838149,0.010570339388406574,-0.019138055613210105,0.6936785223641816,1.08
MCD,270.0,0.8,250.0,0.15,0.025,5.7352474687626795,0.28999455707253324,0.010096646931556881,-0.01814248418639729,0.757248519866766,1.08
MCD,270.0,0.9,250.0,0.15,0.025,6.380808505474306,0.3012260859265623,0.009669783576408783,-0.01724635013601298,0.815887989259491,1.08
MCD,270.0,1.0,250.0,0.15,0.025,6.995298626713051,0.31080696439834443,0.009284659859805337,-0.016437977495598458,0.8704368618567504,1.08
MCD,280.0,0.1,250.0,0.15,0.025,0.034085485569315566,0.008728827291608367,0.001994861998885241,-0.0038110810935350374,0.01870183123954914,1.12
MCD,280.0,0.2,250.0,0.15,0.025,0.31960421945945505,0.04714719288828351,0.005861806974304185,-0.011113032748789277,0.10990888076820346,1.12
