scenario,spot,strike,maturity,vol,price,delta,gamma,theta,vega,moneyness
Rising_50pct,150,110,0.25,0.3,40.67231493887883,0.9852235980472812,0.001661535114435307,-0.010478161092411002,0.028038405056095804,0.7333333333333333
Rising_50pct,150,110,0.5,0.3,41.86938756242267,0.9468761349450404,0.0034012588914290836,-0.014923329537420864,0.1147924875857316,0.7333333333333333
Rising_50pct,150,110,1.0,0.3,44.77426966949997,0.8944445209337885,0.0040562487287259235,-0.01615013700615442,0.27379678918899986,0.7333333333333333
Rising_50pct,150,120,0.1,0.3,30.277212047676542,0.992253725768826,0.001497294928650598,-0.010649939867429252,0.010106740768391537,0.8
Rising_50pct,150,120,0.25,0.3,31.1581328950207,0.9447508039627674,0.004961767607146175,-0.01982158755129696,0.0837298283705917,0.8
Rising_50pct,150,120,0.5,0.3,33.13372506180511,0.8859205948394324,0.006065254197675266,-0.022290841529940823,0.20470232917154024,0.8
Rising_50pct,150,120,1.0,0.3,37.04721505319495,0.8315927777957041,0.005589527609907663,-0.02031022119823211,0.3772931136687672,0.8
Rising_100pct,200,80,0.1,0.5,120.15984011690566,0.9999999980317227,3.7644697940749975e-10,-0.004374808416503219,7.528939588149996e-09,0.4
Rising_100pct,200,80,0.25,0.5,120.39986519151053,0.9999305623801997,5.61745240435605e-06,-0.004437841664965394,0.0002808726202178025,0.4
Rising_100pct,200,80,0.5,0.5,120.8563367770355,0.9974188076333699,0.00011297278887417338,-0.005855924491407224,0.011297278887417338,0.4
Rising_100pct,200,80,1.0,0.5,122.30945715253857,0.983105530198481,0.0004193583494326726,-0.009816506095634291,0.08387166988653454,0.4
Rising_100pct,200,90,0.1,0.5,110.17982092489203,0.9999998640218586,2.289272975175608e-08,-0.004921965756817404,4.5785459503512157e-07,0.45
Rising_100pct,200,90,0.25,0.5,110.45471971301934,0.9995796437657462,3.0264812322153472e-05,-0.005316570527159904,0.0015132406161076737,0.45
Rising_100pct,200,90,0.5,0.5,111.07285883523183,0.9931221747105577,0.0002713359718551755,-0.008514277757297182,0.027133597185517545,0.45
Rising_100pct,200,90,1.0,0.5,113.1635476778981,0.9704208723168269,0.0006724907072246255,-0.013646208415979381,0.1344981414449251,0.45
Rising_100pct,200,100,0.1,0.5,100.1998256680983,0.9999961893237501,5.640590931859249e-07,-0.005476187779175244,1.1281181863718498e-05,0.5
Rising_100pct,200,100,0.25,0.5,100.52608619980587,0.998236253603009,0.00011311296880520931,-0.006980789409430042,0.005655648440260465,0.5
Rising_100pct,200,100,0.5,0.5,101.42497460217146,0.9848282469345742,0.0005408343331965154,-0.01264379496349985,0.05408343331965154,0.5
Rising_100pct,200,100,1.0,0.5,104.34884281459176,0.9531597255537392,0.00097889114485481,-0.018137308959444307,0.195778228970962,0.5
Rising_100pct,200,110,0.1,0.5,90.22018866158503,0.9999461949405271,6.983584581990031e-06,-0.0061104080258639944,0.00013967169163980062,0.55
